objid,wid,cluster
1,75,0
1,114,0
1,116,0
1,118,0
1,133,0
1,140,0
1,131,0
1,148,0
1,137,0
1,149,0
1,156,0
1,52,0
1,159,0
1,175,0
1,181,0
1,182,0
1,187,0
1,170,0
1,169,0
1,184,0
1,199,0
1,201,0
1,196,0
1,208,0
1,223,0
1,219,0
1,238,0
1,246,0
1,239,0
1,247,0
1,248,0
1,146,1
1,234,1
4,114,0
4,68,0
4,133,0
4,142,0
4,146,0
4,131,0
4,148,0
4,140,0
4,181,0
4,52,0
4,147,0
4,137,0
4,143,0
4,156,0
4,185,0
4,184,0
4,175,0
4,187,0
4,193,0
4,192,0
4,169,0
4,199,0
4,201,0
4,196,0
4,209,0
4,116,0
4,82,0
4,218,0
4,219,0
4,225,0
4,233,0
4,234,0
4,232,0
4,230,0
4,235,0
4,265,0
4,240,0
4,208,1
4,223,1
7,92,0
7,106,0
7,114,0
7,68,0
7,116,0
7,120,0
7,129,0
7,131,0
7,140,0
7,148,0
7,143,0
7,156,0
7,52,0
7,161,0
7,181,0
7,187,0
7,9,0
7,192,0
7,193,0
7,218,0
7,219,0
7,230,0
7,235,0
7,241,0
7,239,0
7,249,0
7,267,0
7,84,1
7,234,1
7,133,1
7,137,1
7,147,1
7,146,1
7,159,1
7,175,1
7,196,1
7,184,1
7,82,1
7,247,1
8,54,0
8,114,0
8,118,0
8,131,0
8,133,0
8,148,0
8,146,0
8,192,0
8,193,0
8,169,0
8,200,0
8,199,0
8,196,0
8,208,0
8,209,0
8,135,0
8,219,0
8,223,0
8,239,0
8,241,0
8,82,0
8,267,0
8,25,1
8,22,1
8,140,1
8,156,1
8,161,1
8,230,1
8,235,1
8,214,1
8,270,1
8,260,1
8,46,2
8,181,2
8,184,2
8,234,2
8,247,2
10,46,0
10,54,0
10,116,0
10,142,0
10,133,0
10,135,0
10,140,0
10,131,0
10,146,0
10,148,0
10,149,0
10,137,0
10,52,0
10,156,0
10,167,0
10,161,0
10,159,0
10,170,0
10,169,0
10,175,0
10,187,0
10,193,0
10,184,0
10,199,0
10,204,0
10,205,0
10,219,0
10,218,0
10,223,0
10,226,0
10,233,0
10,230,0
10,235,0
10,240,0
10,239,0
10,2,0
10,260,0
10,261,0
10,139,0
10,114,1
10,147,1
20,82,0
20,54,1
20,135,1
20,181,1
20,189,1
20,156,1
20,192,1
20,184,1
20,208,1
20,209,1
20,219,1
20,218,1
20,230,1
20,4,2
20,81,2
20,175,2
20,195,2
20,9,2
20,193,2
20,196,2
20,199,2
20,201,2
20,213,2
20,217,2
20,234,2
20,238,2
20,259,2
20,46,3
20,52,3
20,187,3
20,169,3
20,212,3
20,215,3
20,214,3
20,241,3
20,8,4
20,16,4
20,38,4
20,174,4
20,200,4
15,12,0
15,16,0
15,46,0
15,51,0
15,54,0
15,60,0
15,116,0
15,114,0
15,68,0
15,118,0
15,130,0
15,129,0
15,133,0
15,137,0
15,146,0
15,230,0
15,142,0
15,131,0
15,140,0
15,148,0
15,150,0
15,143,0
15,156,0
15,52,0
15,161,0
15,181,0
15,175,0
15,9,0
15,219,0
15,218,0
15,223,0
15,225,0
15,234,0
15,235,0
15,214,0
15,242,0
15,241,0
15,261,0
15,272,0
15,56,1
15,61,1
18,6,0
18,9,0
18,32,0
18,33,0
18,46,0
18,54,0
18,172,0
18,81,0
18,174,0
18,175,0
18,135,0
18,181,0
18,156,0
18,169,0
18,194,0
18,193,0
18,114,0
18,189,0
18,184,0
18,199,0
18,201,0
18,203,0
18,205,0
18,196,0
18,208,0
18,209,0
18,210,0
18,116,0
18,211,0
18,214,0
18,200,0
18,217,0
18,219,0
18,218,0
18,225,0
18,256,0
18,187,1
18,82,1
21,13,0
21,30,0
21,46,0
21,48,0
21,54,0
21,57,0
21,81,0
21,174,0
21,175,0
21,135,0
21,181,0
21,184,0
21,187,0
21,9,0
21,189,0
21,156,0
21,169,0
21,193,0
21,196,0
21,201,0
21,199,0
21,209,0
21,208,0
21,116,0
21,211,0
21,82,0
21,215,0
21,214,0
21,200,0
21,217,0
21,218,0
21,219,0
21,192,0
21,225,0
21,230,0
21,234,0
21,256,0
21,178,1
21,114,1
22,6,0
22,30,0
22,46,0
22,52,0
22,54,0
22,172,0
22,81,0
22,175,0
22,82,0
22,135,0
22,187,0
22,181,0
22,9,0
22,189,0
22,156,0
22,193,0
22,196,0
22,169,0
22,198,0
22,184,0
22,199,0
22,201,0
22,205,0
22,207,0
22,114,0
22,208,0
22,209,0
22,210,0
22,116,0
22,215,0
22,214,0
22,217,0
22,220,0
22,218,0
22,259,0
22,24,1
22,174,1
22,213,1
22,200,1
25,136,0
25,133,0
25,131,0
25,143,0
25,146,0
25,181,0
25,52,0
25,187,0
25,169,0
25,9,0
25,205,0
25,208,0
25,214,0
25,218,0
25,234,0
25,235,0
25,241,0
25,250,0
25,247,0
25,248,0
25,114,1
25,68,1
25,140,1
25,147,1
25,148,1
25,156,1
25,193,1
25,196,1
25,184,1
25,199,1
25,201,1
25,209,1
25,135,1
25,82,1
25,219,1
25,230,1
25,253,1
25,260,1
26,83,0
26,114,0
26,68,0
26,116,0
26,123,0
26,130,0
26,131,0
26,133,0
26,142,0
26,140,0
26,147,0
26,137,0
26,148,0
26,146,0
26,52,0
26,156,0
26,181,0
26,175,0
26,187,0
26,193,0
26,170,0
26,169,0
26,196,0
26,184,0
26,218,0
26,219,0
26,222,0
26,225,0
26,234,0
26,230,0
26,232,0
26,235,0
26,214,0
26,270,0
26,198,1
26,228,1
27,68,0
27,114,0
27,120,0
27,219,0
27,116,0
27,118,0
27,135,0
27,131,0
27,141,0
27,133,0
27,140,0
27,142,0
27,146,0
27,147,0
27,149,0
27,181,0
27,148,0
27,143,0
27,137,0
27,52,0
27,161,0
27,159,0
27,9,0
27,156,0
27,187,0
27,175,0
27,193,0
27,218,0
27,234,0
27,230,0
27,235,0
27,245,0
27,239,0
27,247,0
27,252,0
27,258,0
27,160,1
27,136,2
27,82,3
28,68,0
28,133,0
28,131,0
28,140,0
28,146,0
28,148,0
28,137,0
28,52,0
28,48,0
28,9,0
28,156,0
28,175,0
28,169,0
28,201,0
28,184,0
28,199,0
28,196,0
28,208,0
28,212,0
28,213,0
28,214,0
28,219,0
28,230,0
28,234,0
28,241,0
28,239,0
28,247,0
28,250,0
28,252,0
28,271,0
28,114,1
28,82,1
28,228,1
29,105,0
29,68,0
29,131,0
29,135,0
29,149,0
29,148,0
29,52,0
29,161,0
29,167,0
29,187,0
29,9,0
29,175,0
29,156,0
29,195,0
29,192,0
29,193,0
29,239,0
29,75,0
29,252,0
29,84,1
29,86,1
29,114,1
29,133,1
29,146,1
29,181,1
29,184,1
29,234,1
29,241,1
29,254,1
29,76,2
29,140,2
29,147,2
29,82,2
29,81,2
29,256,2
30,114,0
30,147,0
30,263,0
30,68,1
30,116,1
30,118,1
30,133,1
30,131,1
30,140,1
30,146,1
30,148,1
30,149,1
30,143,1
30,161,1
30,167,1
30,181,1
30,175,1
30,184,1
30,156,1
30,187,1
30,193,1
30,169,1
30,199,1
30,201,1
30,196,1
30,208,1
30,211,1
30,225,1
30,223,1
30,226,1
30,234,1
30,230,1
30,241,1
30,239,1
31,114,0
31,116,0
31,123,0
31,133,0
31,141,0
31,135,0
31,131,0
31,148,0
31,146,0
31,149,0
31,137,0
31,155,0
31,156,0
31,52,0
31,161,0
31,181,0
31,175,0
31,187,0
31,169,0
31,193,0
31,9,0
31,196,0
31,208,0
31,218,0
31,219,0
31,225,0
31,234,0
31,230,0
31,241,0
31,245,0
31,214,0
31,246,0
31,118,1
31,140,1
31,147,1
31,199,1
31,235,1
31,260,1
31,34,2
32,66,0
32,89,0
32,97,0
32,114,0
32,116,0
32,120,0
32,133,0
32,131,0
32,148,0
32,146,0
32,52,0
32,175,0
32,187,0
32,156,0
32,192,0
32,169,0
32,201,0
32,218,0
32,223,0
32,219,0
32,225,0
32,234,0
32,235,0
32,239,0
32,247,0
32,76,1
32,140,1
32,147,1
32,166,1
32,184,1
32,193,1
32,230,1
32,240,1
33,103,0
33,116,0
33,123,0
33,133,0
33,139,0
33,135,0
33,131,0
33,146,0
33,140,0
33,148,0
33,52,0
33,181,0
33,156,0
33,175,0
33,187,0
33,169,0
33,9,0
33,193,0
33,209,0
33,196,0
33,208,0
33,219,0
33,218,0
33,192,0
33,225,0
33,230,0
33,234,0
33,235,0
33,214,0
33,239,0
33,72,1
33,114,1
33,147,1
33,184,1
33,199,1
33,205,1
33,82,1
33,228,1
33,263,1
34,140,0
34,147,0
34,9,0
34,260,0
34,114,1
34,116,1
34,131,1
34,133,1
34,148,1
34,143,1
34,137,1
34,151,1
34,146,1
34,181,1
34,156,1
34,187,1
34,193,1
34,192,1
34,196,1
34,200,1
34,169,1
34,234,1
34,184,1
34,199,1
34,208,1
34,209,1
34,214,1
34,135,1
34,220,1
34,218,1
34,219,1
34,225,1
34,228,1
34,230,1
34,235,1
34,243,1
34,197,1
37,114,0
37,68,0
37,133,0
37,140,0
37,147,0
37,146,0
37,181,0
37,193,0
37,184,0
37,199,0
37,208,0
37,211,0
37,82,0
37,214,0
37,234,0
37,230,0
37,241,0
37,239,0
37,250,0
37,260,0
37,131,1
37,137,1
37,148,1
37,143,1
37,156,1
37,52,1
37,182,1
37,187,1
37,169,1
37,201,1
37,209,1
37,135,1
37,219,1
37,235,1
37,246,1
37,247,1
40,92,0
40,97,0
40,63,0
40,9,0
40,88,0
40,114,0
40,133,0
40,141,0
40,140,0
40,136,0
40,146,0
40,52,0
40,75,0
40,159,0
40,161,0
40,181,0
40,187,0
40,156,0
40,175,0
40,184,0
40,169,0
40,205,0
40,196,0
40,218,0
40,225,0
40,230,0
40,234,0
40,235,0
40,214,0
40,239,0
40,246,0
40,262,0
40,68,1
40,131,1
40,147,1
40,148,1
40,193,1
40,199,1
40,219,1
41,103,0
41,68,0
41,133,0
41,141,0
41,145,0
41,146,0
41,52,0
41,156,0
41,9,0
41,181,0
41,193,0
41,169,0
41,196,0
41,208,0
41,209,0
41,213,0
41,214,0
41,215,0
41,219,0
41,225,0
41,234,0
41,230,0
41,235,0
41,239,0
41,247,0
41,118,1
41,131,1
41,140,1
41,147,1
41,148,1
41,161,1
41,184,1
41,135,1
41,192,1
41,240,1
41,250,1
41,260,1
42,114,0
42,136,0
42,135,0
42,140,0
42,131,0
42,147,0
42,148,0
42,137,0
42,52,0
42,159,0
42,161,0
42,176,0
42,187,0
42,156,0
42,199,0
42,184,0
42,192,0
42,228,0
42,234,0
42,239,0
42,75,1
42,68,1
42,133,1
42,141,1
42,175,1
42,146,1
42,181,1
42,169,1
42,193,1
42,201,1
42,196,1
42,208,1
42,116,1
42,219,1
42,218,1
42,223,1
42,230,1
42,235,1
42,256,1
47,115,0
47,133,0
47,146,0
47,143,0
47,201,0
47,9,0
47,175,0
47,169,0
47,214,0
47,220,0
47,192,0
47,140,1
47,147,1
47,156,1
47,184,1
47,209,1
47,211,1
47,230,1
47,234,1
47,241,1
47,114,2
47,116,2
47,126,2
47,131,2
47,148,2
47,181,2
47,187,2
47,196,2
47,199,2
47,206,2
47,208,2
47,82,2
47,135,2
47,218,2
47,219,2
47,235,2
47,239,2
47,246,2
47,263,2
